COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8,T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, MARKER_HARDWARE, ES_TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
15,0,842,4171.28205128205,4127.17948717949,4151.28205128205,4265.64102564103,4123.07692307692,4118.46153846154,4126.15384615385,4129.74358974359,4277.4358974359,4155.89743589744,4159.48717948718,4220,4184.61538461538,4157.4358974359,2043,2035,2920.60778251048,0,2732.2578125,0,0,0,0,
16,0,0,4167.69230769231,4124.10256410256,4151.79487179487,4261.53846153846,4128.71794871795,4128.71794871795,4136.92307692308,4127.69230769231,4282.05128205128,4142.05128205128,4147.69230769231,4224.10256410256,4169.74358974359,4153.84615384615,2042,2035,2920.61566273113,0,2732.2578125,0,0,0,0,
17,0,0,4149.74358974359,4136.41025641026,4154.8717948718,4260,4137.4358974359,4146.66666666667,4147.17948717949,4145.64102564103,4268.20512820513,4152.82051282051,4161.53846153846,4222.05128205128,4183.58974358974,4156.41025641026,2043,2037,2920.62354295178,0,2732.2578125,0,0,0,0,
18,0,0,4121.02564102564,4146.66666666667,4150.76923076923,4258.46153846154,4144.61538461538,4156.41025641026,4148.71794871795,4156.41025641026,4253.33333333333,4160.51282051282,4167.17948717949,4223.07692307692,4191.28205128205,4160,2042,2036,2920.63142317242,0,2732.2578125,0,0,0,0,
19,0,0,4095.38461538462,4127.17948717949,4141.02564102564,4268.71794871795,4133.84615384615,4150.25641025641,4149.74358974359,4151.28205128205,4255.89743589744,4151.28205128205,4153.33333333333,4232.82051282051,4171.28205128205,4149.23076923077,2043,2032,2920.63930339307,0,2732.2578125,0,0,0,0,
20,0,0,4085.12820512821,4110.76923076923,4135.89743589744,4280,4118.97435897436,4144.10256410256,4154.35897435897,4143.07692307692,4271.79487179487,4138.97435897436,4146.66666666667,4237.4358974359,4161.53846153846,4135.38461538462,2044,2034,2920.64718361372,0,2732.3828125,0,0,0,0,
21,0,0,4088.20512820513,4121.02564102564,4136.92307692308,4278.97435897436,4122.5641025641,4144.10256410256,4150.25641025641,4138.46153846154,4282.05128205128,4135.89743589744,4148.71794871795,4235.89743589744,4169.74358974359,4136.41025641026,2043,2032,2920.65506383436,0,2732.3828125,0,0,0,0,
22,0,0,4090.25641025641,4122.5641025641,4135.89743589744,4278.46153846154,4129.74358974359,4133.33333333333,4131.28205128205,4128.71794871795,4284.61538461538,4147.17948717949,4157.94871794872,4232.30769230769,4173.33333333333,4145.12820512821,2042,2031,2920.66294405501,0,2732.3828125,0,0,0,0,
23,0,0,4095.38461538462,4120.51282051282,4142.05128205128,4276.41025641026,4127.17948717949,4123.58974358974,4122.5641025641,4117.94871794872,4287.17948717949,4156.92307692308,4170.25641025641,4224.10256410256,4177.94871794872,4152.82051282051,2044,2032,2920.67082427565,0,2732.3828125,0,0,0,0,
24,0,0,4110.76923076923,4137.94871794872,4153.84615384615,4262.5641025641,4130.25641025641,4138.97435897436,4135.38461538462,4125.12820512821,4275.89743589744,4157.4358974359,4175.89743589744,4215.38461538462,4190.76923076923,4161.53846153846,2044,2032,2920.6787044963,0,2732.3828125,0,0,0,0,
25,0,0,4122.05128205128,4152.30769230769,4159.48717948718,4253.84615384615,4140,4153.84615384615,4145.64102564103,4145.64102564103,4248.71794871795,4168.71794871795,4185.64102564103,4206.66666666667,4201.53846153846,4174.8717948718,2043,2032,2920.68658471695,0,2732.3828125,0,0,0,0,
26,0,0,4116.41025641026,4144.61538461538,4157.94871794872,4260,4140.51282051282,4147.17948717949,4148.71794871795,4155.89743589744,4243.58974358974,4172.82051282051,4185.12820512821,4206.15384615385,4191.79487179487,4173.84615384615,2042,2033,2920.69446493759,0,2732.3828125,0,0,0,0,
27,0,0,4104.61538461538,4128.71794871795,4148.20512820513,4265.64102564103,4134.8717948718,4142.05128205128,4150.25641025641,4152.82051282051,4264.10256410256,4155.38461538462,4170.76923076923,4217.4358974359,4169.23076923077,4155.89743589744,2042,2033,2920.70234515824,0,2732.3828125,0,0,0,0,
28,0,0,4104.61538461538,4121.02564102564,4145.64102564103,4265.64102564103,4124.61538461538,4149.74358974359,4152.30769230769,4152.82051282051,4265.12820512821,4153.33333333333,4173.84615384615,4221.53846153846,4171.79487179487,4155.38461538462,2043,2032,2920.71022537889,0,2732.3828125,0,0,0,0,
29,0,0,4113.84615384615,4132.82051282051,4151.79487179487,4263.07692307692,4121.53846153846,4154.8717948718,4158.46153846154,4159.48717948718,4244.10256410256,4171.28205128205,4184.61538461538,4215.89743589744,4186.66666666667,4168.71794871795,2041,2031,2920.71810559953,0,2732.3828125,0,0,0,0,
30,0,0,4113.33333333333,4139.48717948718,4150.25641025641,4262.5641025641,4134.8717948718,4151.79487179487,4158.97435897436,4154.8717948718,4246.15384615385,4164.10256410256,4176.92307692308,4215.89743589744,4182.05128205128,4161.02564102564,2042,2030,2920.72598582018,0,2732.3828125,0,0,0,0,
31,0,0,4108.71794871795,4123.58974358974,4145.64102564103,4267.17948717949,4141.53846153846,4152.82051282051,4156.92307692308,4141.53846153846,4269.74358974359,4144.10256410256,4171.79487179487,4219.48717948718,4175.89743589744,4151.28205128205,2042,2030,2920.73386604082,0,2732.3828125,0,0,0,0,
